task,phoneme,model,accuracy,roc_auc,sensitivity,specificity,f1,pr_auc
vowels,A,EfficientNet-B0,0.8860759493670886,0.9685494223363287,0.8536585365853658,0.9210526315789473,0.8860759493670886,0.9737115238939029
vowels,A,ConvNeXt-Tiny,0.8734177215189873,0.9614890885750963,0.7560975609756098,1.0,0.8719867203087691,0.9671385687663743
vowels,E,EfficientNet-B0,0.8589743589743589,0.9138157894736842,0.868421052631579,0.85,0.8589975425418463,0.9240660736437958
vowels,E,ConvNeXt-Tiny,0.9230769230769231,0.9809210526315789,0.8947368421052632,0.95,0.9229755083413621,0.9822145994242147
vowels,I,EfficientNet-B0,0.8026315789473685,0.8745668745668747,0.7837837837837838,0.8205128205128205,0.8025289076688601,0.8841462595880465
vowels,I,ConvNeXt-Tiny,0.7894736842105263,0.8911988911988912,0.7567567567567568,0.8205128205128205,0.7891812865497077,0.899174944795486
vowels,O,EfficientNet-B0,0.8311688311688312,0.8535762483130904,0.7894736842105263,0.8717948717948718,0.8308262006892144,0.8682213326675422
vowels,O,ConvNeXt-Tiny,0.8181818181818182,0.8960863697705803,0.7631578947368421,0.8717948717948718,0.8175659029317565,0.8847397021286793
vowels,U,EfficientNet-B0,0.8493150684931506,0.9087481146304676,0.8529411764705882,0.8461538461538461,0.8494285147054652,0.9056267233442793
vowels,U,ConvNeXt-Tiny,0.8082191780821918,0.9268476621417797,0.7352941176470589,0.8717948717948718,0.8069036084196458,0.9236286106551251
